cqa,best_q_prec,best_q_fmeasure,best_q_rec
conference_end_date,0.0,0.0,0.0
pc_chair,0.3333333333333333,0.5,1.0
tutorial,1.0,1.0,1.0
assigned_reviewer,0.40089753178758414,0.5723438334223171,1.0
person_name,0.0,0.0,0.0
conference_notif_date,0.0,0.0,0.0
workshop,1.0,1.0,1.0
person_last_name,0.0,0.0,0.0
is_assigned_reviewer_of,0.8643981716607415,0.9272677744483792,1.0
conference_paper_date,0.0,0.0,0.0
late_registered_participant,0.0,0.0,0.0
topic,0.0,0.0,0.0
person,1.0,1.0,1.0
paper,1.0,1.0,1.0
workshop_topic,0.0,0.0,0.0
paper_title,0.0,0.0,0.0
conference_start_date,0.0,0.0,0.0
regular_paper,1.0,1.0,1.0
conference_camera_date,0.0,0.0,0.0
early_registration,0.0,0.0,0.0
early_registered_participant,0.0,0.0,0.0
author,0.8572174367006004,0.9231201686577652,1.0
conference_location,1.0,1.0,1.0
is_author_of_paper,0.25994227669702763,0.41262569167608737,1.0
conference_name,0.0,0.0,0.0
pc_member,0.40089753178758414,0.5720384204909285,0.9981378026070763
tutorial_topic,0.0,0.0,0.0
conference,1.0,1.0,1.0
participant,1.0,1.0,1.0
person_first_name,0.0,0.0,0.0
global mean,0.3705562093988958,0.3969131962898492,0.46660459342023586

