cqa,best_q_prec,best_q_fmeasure,best_q_rec
conference_end_date,0.0,0.0,0.0
pc_chair,0.0,0.0,0.0
tutorial,1.0,1.0,1.0
assigned_reviewer,0.0,0.0,0.0
person_name,0.0,0.0,0.0
conference_notif_date,0.0,0.0,0.0
workshop,1.0,1.0,1.0
person_last_name,0.0,0.0,0.0
is_assigned_reviewer_of,0.0,0.0,0.0
conference_paper_date,0.05,0.09523809523809523,1.0
late_registered_participant,0.0,0.0,0.0
topic,0.0,0.0,0.0
person,1.0,1.0,1.0
paper,1.0,1.0,1.0
workshop_topic,0.0,0.0,0.0
paper_title,0.0,0.0,0.0
conference_start_date,0.0,0.0,0.0
regular_paper,1.0,1.0,1.0
conference_camera_date,0.03225806451612903,0.0625,1.0
early_registration,0.0,0.0,0.0
early_registered_participant,0.9786557674841053,0.9892127610741335,1.0
author,1.0,1.0,1.0
conference_location,0.25,0.4,1.0
is_author_of_paper,1.0,1.0,1.0
conference_name,0.0,0.0,0.0
pc_member,0.0,0.0,0.0
tutorial_topic,0.0,0.0,0.0
conference,1.0,1.0,1.0
participant,1.0,1.0,1.0
person_first_name,0.0,0.0,0.0
global mean,0.34369712773334116,0.35156502854374094,0.43333333333333335

