cqa,best_q_prec,best_q_fmeasure,best_q_rec
trip_location,0.0,0.0,0.0
pc_chair,1.0,1.0,1.0
tutorial,1.0,1.0,1.0
assigned_reviewer,1.0,1.0,1.0
person_name,0.0,0.0,0.0
workshop,1.0,1.0,1.0
is_assigned_reviewer_of,1.0,1.0,1.0
late_registered_participant,1.0,1.0,1.0
topic,1.0,1.0,1.0
conference_topic,1.0,1.0,1.0
gala_dinner_location,0.0,0.0,0.0
person,1.0,1.0,1.0
gala_dinner,1.0,1.0,1.0
trip,1.0,1.0,1.0
paper,1.0,1.0,1.0
workshop_topic,1.0,1.0,1.0
paper_title,0.0,0.0,0.0
regular_paper,0.0,0.0,0.0
student,1.0,1.0,1.0
early_registration,0.0,0.0,0.0
early_registered_participant,1.0,1.0,1.0
author,1.0,1.0,1.0
topic_of_paper,0.8174273858921162,0.8995433789954338,1.0
university,1.0,1.0,1.0
conference_location,0.0,0.0,0.0
is_author_of_paper,0.36582691077466717,0.5356856097778571,1.0
conference_name,0.0,0.0,0.0
pc_member,0.8478672985781991,0.9176711977430111,1.0
tutorial_topic,1.0,1.0,1.0
conference,1.0,1.0,1.0
participant,0.9441611422743498,0.9712786885245901,1.0
global mean,0.7088800883070753,0.720134802420674,0.7419354838709677

