cqa,best_q_prec,best_q_fmeasure,best_q_rec
trip_location,0.0,0.0,0.0
pc_chair,1.0,1.0,1.0
tutorial,1.0,1.0,1.0
assigned_reviewer,0.0,0.0,0.0
person_name,0.0,0.0,0.0
workshop,1.0,1.0,1.0
is_assigned_reviewer_of,0.0,0.0,0.0
late_registered_participant,0.0,0.0,0.0
topic,1.0,1.0,1.0
conference_topic,0.0,0.0,0.0
gala_dinner_location,0.0,0.0,0.0
person,1.0,1.0,1.0
gala_dinner,1.0,1.0,1.0
trip,1.0,1.0,1.0
paper,1.0,1.0,1.0
workshop_topic,1.0,1.0,1.0
paper_title,0.0,0.0,0.0
regular_paper,0.0,0.0,0.0
student,1.0,1.0,1.0
early_registration,0.0,0.0,0.0
early_registered_participant,1.0,1.0,1.0
author,1.0,1.0,1.0
topic_of_paper,0.0,0.0,0.0
university,1.0,1.0,1.0
conference_location,0.0,0.0,0.0
is_author_of_paper,0.0,0.0,0.0
conference_name,0.0,0.0,0.0
pc_member,0.0,0.0,0.0
tutorial_topic,1.0,1.0,1.0
conference,1.0,1.0,1.0
participant,1.0,0.9902758483826156,0.9807389937106918
global mean,0.5161290322580645,0.5158153499478263,0.5155077094745384

