cqa,best_q_prec,best_q_fmeasure,best_q_rec
pc_chair,0.0,0.0,0.0
assigned_reviewer,0.0,0.0,0.0
person_name,0.0,0.0,0.0
is_assigned_reviewer_of,0.0,0.0,0.0
topic,0.0,0.0,0.0
person,1.0,1.0,1.0
paper,0.0,0.0,0.0
paper_title,0.5,0.6666666666666666,1.0
conference_start_date,0.0,0.0,0.0
author,1.0,1.0,1.0
topic_of_paper,0.0,0.0,0.0
administrator,1.0,1.0,1.0
is_author_of_paper,0.0,0.0,0.0
conference_name,0.0,0.0,0.0
pc_member,0.2914129110840438,0.4391922900413033,0.8910614525139665
conference,1.0,1.0,1.0
global mean,0.29946330694275275,0.31911618479424814,0.3681913407821229

