Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.21939610401500784
Epoch: 0 Idx: 1000 Loss: 0.030897945318966735
Epoch: 0 Idx: 2000 Loss: 0.012535477735479469
Epoch: 0 Idx: 3000 Loss: 0.007240918970902996
Epoch: 0 Idx: 4000 Loss: 0.030191999040141273
Epoch: 0 Idx: 5000 Loss: 0.028072621292803347
Epoch: 0 Idx: 6000 Loss: 0.0618281469498996
Epoch: 0 Idx: 7000 Loss: 0.008747936915068574
Epoch: 0 Idx: 8000 Loss: 0.008255345225381728
Epoch: 0 Idx: 9000 Loss: 0.005857669946998352
Epoch: 0 Idx: 10000 Loss: 0.007220878878821501
Epoch: 0 Idx: 11000 Loss: 0.043204315895643046
Epoch: 1 Idx: 0 Loss: 0.008437410439126714
Epoch: 1 Idx: 1000 Loss: 0.046059215976672487
Epoch: 1 Idx: 2000 Loss: 0.012647432197591122
Epoch: 1 Idx: 3000 Loss: 0.005651626627007683
Epoch: 1 Idx: 4000 Loss: 0.029857166505032767
Epoch: 1 Idx: 5000 Loss: 0.009872662387494208
Epoch: 1 Idx: 6000 Loss: 0.017860362679048048
Epoch: 1 Idx: 7000 Loss: 0.014398135651007369
Epoch: 1 Idx: 8000 Loss: 0.01640150832975983
Epoch: 1 Idx: 9000 Loss: 0.021262170844937162
Epoch: 1 Idx: 10000 Loss: 0.016139547788671382
Epoch: 1 Idx: 11000 Loss: 0.050393702391039845
Epoch: 2 Idx: 0 Loss: 0.005289523224305218
Epoch: 2 Idx: 1000 Loss: 0.022733358137928227
Epoch: 2 Idx: 2000 Loss: 0.02203101630864526
Epoch: 2 Idx: 3000 Loss: 0.010985399386293648
Epoch: 2 Idx: 4000 Loss: 0.021532678443430986
Epoch: 2 Idx: 5000 Loss: 0.024331627979108005
Epoch: 2 Idx: 6000 Loss: 0.022946851829125616
Epoch: 2 Idx: 7000 Loss: 0.05138746356673789
Epoch: 2 Idx: 8000 Loss: 0.01668197642172943
Epoch: 2 Idx: 9000 Loss: 0.02792581578030021
Epoch: 2 Idx: 10000 Loss: 0.01555985030914143
Epoch: 2 Idx: 11000 Loss: 0.07829713892739142
Epoch: 3 Idx: 0 Loss: 0.007695677904160799
Epoch: 3 Idx: 1000 Loss: 0.039396589046370944
Epoch: 3 Idx: 2000 Loss: 0.00830179651305291
Epoch: 3 Idx: 3000 Loss: 0.01422099533306649
Epoch: 3 Idx: 4000 Loss: 0.014259242627983301
Epoch: 3 Idx: 5000 Loss: 0.014908999430817188
Epoch: 3 Idx: 6000 Loss: 0.00972518999887123
Epoch: 3 Idx: 7000 Loss: 0.013012282801607183
Epoch: 3 Idx: 8000 Loss: 0.014439975403111217
Epoch: 3 Idx: 9000 Loss: 0.03734885811714368
Epoch: 3 Idx: 10000 Loss: 0.022615191228492468
Epoch: 3 Idx: 11000 Loss: 0.0056602674260087206
Epoch: 4 Idx: 0 Loss: 0.004047355333991884
Epoch: 4 Idx: 1000 Loss: 0.014948281637624003
Epoch: 4 Idx: 2000 Loss: 0.03079828125805508
Epoch: 4 Idx: 3000 Loss: 0.008468726160870875
Epoch: 4 Idx: 4000 Loss: 0.0659013357332443
Epoch: 4 Idx: 5000 Loss: 0.008232448807358423
Epoch: 4 Idx: 6000 Loss: 0.005637824559203909
Epoch: 4 Idx: 7000 Loss: 0.03249623520175166
Epoch: 4 Idx: 8000 Loss: 0.022386438159162896
Epoch: 4 Idx: 9000 Loss: 0.03118508461395079
Epoch: 4 Idx: 10000 Loss: 0.007523774806695197
Epoch: 4 Idx: 11000 Loss: 0.027082203431666577
Epoch: 5 Idx: 0 Loss: 0.0593167452760834
Epoch: 5 Idx: 1000 Loss: 0.006777335833918787
Epoch: 5 Idx: 2000 Loss: 0.004803205406049191
Epoch: 5 Idx: 3000 Loss: 0.03749667026901531
Epoch: 5 Idx: 4000 Loss: 0.02453221933094474
Epoch: 5 Idx: 5000 Loss: 0.018999226169709508
Epoch: 5 Idx: 6000 Loss: 0.07174992836507915
Epoch: 5 Idx: 7000 Loss: 0.049407211618514364
Epoch: 5 Idx: 8000 Loss: 0.01029793721737393
Epoch: 5 Idx: 9000 Loss: 0.02516208908382078
Epoch: 5 Idx: 10000 Loss: 0.017979057197776618
Epoch: 5 Idx: 11000 Loss: 0.04180524300531578
Epoch: 6 Idx: 0 Loss: 0.07542369449367928
Epoch: 6 Idx: 1000 Loss: 0.0150268154023583
Epoch: 6 Idx: 2000 Loss: 0.02019980721375676
Epoch: 6 Idx: 3000 Loss: 0.023892360273477697
Epoch: 6 Idx: 4000 Loss: 0.02222020267265013
Epoch: 6 Idx: 5000 Loss: 0.011803195285818786
Epoch: 6 Idx: 6000 Loss: 0.05151985884571168
Epoch: 6 Idx: 7000 Loss: 0.018670873683338047
Epoch: 6 Idx: 8000 Loss: 0.010905879304220406
Epoch: 6 Idx: 9000 Loss: 0.01854919862823606
Epoch: 6 Idx: 10000 Loss: 0.019745656021162322
Epoch: 6 Idx: 11000 Loss: 0.011231901370656704
Epoch: 7 Idx: 0 Loss: 0.009286230342041298
Epoch: 7 Idx: 1000 Loss: 0.030111435997163295
Epoch: 7 Idx: 2000 Loss: 0.010511507315312519
Epoch: 7 Idx: 3000 Loss: 0.034123554118480864
Epoch: 7 Idx: 4000 Loss: 0.01859234608961296
Epoch: 7 Idx: 5000 Loss: 0.005887388780064178
Epoch: 7 Idx: 6000 Loss: 0.029907779667850125
Epoch: 7 Idx: 7000 Loss: 0.01676893278318391
Epoch: 7 Idx: 8000 Loss: 0.03376717629126357
Epoch: 7 Idx: 9000 Loss: 0.005663852266293507
Epoch: 7 Idx: 10000 Loss: 0.0354319684601929
Epoch: 7 Idx: 11000 Loss: 0.014012394969215962
Epoch: 8 Idx: 0 Loss: 0.004517707584402186
Epoch: 8 Idx: 1000 Loss: 0.015372653365340974
Epoch: 8 Idx: 2000 Loss: 0.026602629560834302
Epoch: 8 Idx: 3000 Loss: 0.01645532063760405
Epoch: 8 Idx: 4000 Loss: 0.006850054840037821
Epoch: 8 Idx: 5000 Loss: 0.007815540505940986
Epoch: 8 Idx: 6000 Loss: 0.005194550045796953
Epoch: 8 Idx: 7000 Loss: 0.009837138387638934
Epoch: 8 Idx: 8000 Loss: 0.02913956614296891
Epoch: 8 Idx: 9000 Loss: 0.05048868051100743
Epoch: 8 Idx: 10000 Loss: 0.010256471055833369
Epoch: 8 Idx: 11000 Loss: 0.009931470477518843
Epoch: 9 Idx: 0 Loss: 0.028628450099847654
Epoch: 9 Idx: 1000 Loss: 0.013963489459804513
Epoch: 9 Idx: 2000 Loss: 0.015674420354530403
Epoch: 9 Idx: 3000 Loss: 0.08087865957781894
Epoch: 9 Idx: 4000 Loss: 0.04057835486133767
Epoch: 9 Idx: 5000 Loss: 0.0075075500411208255
Epoch: 9 Idx: 6000 Loss: 0.008441414871512976
Epoch: 9 Idx: 7000 Loss: 0.01356124178745328
Epoch: 9 Idx: 8000 Loss: 0.014529883015111723
Epoch: 9 Idx: 9000 Loss: 0.006626219813992708
Epoch: 9 Idx: 10000 Loss: 0.032800151115880576
Epoch: 9 Idx: 11000 Loss: 0.09881709308221516
Epoch: 10 Idx: 0 Loss: 0.00969203560724279
Epoch: 10 Idx: 1000 Loss: 0.012232939470168406
Epoch: 10 Idx: 2000 Loss: 0.019265672212189125
Epoch: 10 Idx: 3000 Loss: 0.0890832849014962
