cqa,best_q_prec,best_q_fmeasure,best_q_rec
trip_location,1.0,1.0,1.0
reviewers_all,1.0,1.0,1.0
person_name,0.0,0.0,0.0
workshop,1.0,1.0,1.0
topic,1.0,1.0,1.0
conference_topic,1.0,1.0,1.0
gala_dinner_location,1.0,1.0,1.0
person,1.0,1.0,1.0
gala_dinner,1.0,1.0,1.0
trip,1.0,1.0,1.0
paper,1.0,1.0,1.0
paper_title,1.0,1.0,1.0
paper_presentation,0.972856527358897,0.9862415374535924,1.0
accepted_paper,1.0,1.0,1.0
rejected_paper,1.0,1.0,1.0
author,1.0,1.0,1.0
topic_of_paper,1.0,1.0,1.0
review,1.0,1.0,1.0
university,1.0,1.0,1.0
is_author_of_paper,0.3647087602946373,0.5344858491505508,1.0
conference_name,0.0,0.0,0.0
presentation_in_conference,0.0,0.0,0.0
presentation_of_paper,0.972856527358897,0.9862415374535924,1.0
conference,1.0,1.0,1.0
participant,0.949293246578416,0.973987108655617,1.0
all_reviewer_author_of_review,0.0,0.0,0.0
global mean,0.8176813485227249,0.8261906166428213,0.8461538461538461

