cqa,best_q_prec,best_q_fmeasure,best_q_rec
trip_location,1.0,1.0,1.0
reviewers_all,1.0,1.0,1.0
person_name,0.0,0.0,0.0
workshop,1.0,1.0,1.0
topic,1.0,1.0,1.0
conference_topic,1.0,1.0,1.0
gala_dinner_location,1.0,1.0,1.0
person,1.0,1.0,1.0
gala_dinner,1.0,1.0,1.0
trip,1.0,1.0,1.0
paper,1.0,1.0,1.0
paper_title,1.0,1.0,1.0
paper_presentation,0.9639759839893263,0.9816576086956522,1.0
accepted_paper,1.0,1.0,1.0
rejected_paper,1.0,1.0,1.0
author,1.0,1.0,1.0
topic_of_paper,1.0,1.0,1.0
review,1.0,1.0,1.0
university,1.0,1.0,1.0
is_author_of_paper,1.0,1.0,1.0
conference_name,0.0,0.0,0.0
presentation_in_conference,0.9756920999324781,0.9876965140123035,1.0
presentation_of_paper,0.9639759839893263,0.9816576086956522,1.0
conference,1.0,1.0,1.0
participant,0.9454155167126648,0.9719419924337956,1.0
all_reviewer_author_of_review,1.0,1.0,1.0
global mean,0.9172715224855306,0.920113604762977,0.9230769230769231

