cqa,best_q_prec,best_q_fmeasure,best_q_rec
conference_end_date,0.020242914979757085,0.03968253968253968,1.0
pc_chair,1.0,1.0,1.0
tutorial,1.0,1.0,1.0
assigned_reviewer,0.0,0.0,0.0
person_name,1.0,1.0,1.0
conference_notif_date,0.0,0.0,0.0
workshop,1.0,1.0,1.0
person_last_name,1.0,1.0,1.0
is_assigned_reviewer_of,0.0,0.0,0.0
conference_paper_date,0.0,0.0,0.0
late_registered_participant,0.0,0.0,0.0
topic,1.0,1.0,1.0
person,1.0,1.0,1.0
paper,1.0,1.0,1.0
workshop_topic,1.0,1.0,1.0
paper_title,0.0,0.0,0.0
conference_start_date,0.02066115702479339,0.04048582995951417,1.0
regular_paper,1.0,1.0,1.0
conference_camera_date,0.0,0.0,0.0
early_registration,0.0,0.0,0.0
early_registered_participant,0.0,0.0,0.0
author,1.0,1.0,1.0
conference_location,1.0,1.0,1.0
is_author_of_paper,1.0,0.7520244736368543,0.6025955299206921
conference_name,0.0,0.0,0.0
pc_member,1.0,0.009267840593141799,0.004655493482309125
tutorial_topic,1.0,1.0,1.0
conference,1.0,1.0,1.0
participant,1.0,1.0,1.0
person_first_name,1.0,1.0,1.0
global mean,0.6013634690668184,0.561382022795735,0.6202417007801001

